"Gene"	"X3UTR"	"X5UTR"	"CDS"	"promCore"
"AL031663.2"	0.371614935634653	0.420446644087097	0.919220621051488	0.833120039122634
"AL162431.1"	NA	NA	0.998267484346314	0.973983953669199
"ALAS1"	NA	0.470158263009118	0.904749392860715	0.662013002532083
"ALB"	0.00233991159872863	0.169245575668348	2.92582245062038e-14	0.103734478484445
"ALDH3A1"	NA	0.338018620290237	0.889222493716221	0.785623077182004
"ALDOA"	NA	0.419790771763035	0.715984957175279	0.365831796145379
"ALDOB"	0.619350395833102	0.489035914869363	0.0988499137286772	0.563554049122696
"ALKBH3"	NA	0.451814583029845	0.989295532596365	0.545536682845466
"ALKBH6"	0.521340468850773	0.417909606085413	0.0605717780525539	0.877700099249928
"ALOX15B"	0.897979179771009	0.403714566644757	0.694179612623777	1
"ALOXE3"	0.507020897526838	0.0457118769836836	0.706480121640093	0.0898144852776289
"AMBRA1"	0.789260598278366	0.440248087735896	0.274919045131376	0.476586236410031
"AMH"	0.566645721845832	0.425365960961826	0.701167492330185	0.386359818499673
"AMOT"	0.716569280982788	0.293365996965975	0.895008223272986	0.173171862916753
"AMPD3"	0.82454366795377	0.478711266064567	0.505137285816668	0.984315578464785
"ANAPC2"	NA	0.436874636374592	0.690787517630675	0.899778768160964
"ANG"	0.317350087470613	0.291090455059172	0.976147586162856	0.0181196785339553
"ANGPT1"	0.114261263391705	0.243997351130198	0.521258717951513	0.167489154024591
"ANK1"	0.466209453087228	0.356513097153712	0.366295940492426	0.973267763537738
"ANTXR1"	0.429707587514698	0.203346473280649	0.721724384681836	0.578719241436754
"ANXA1"	NA	0.418898574014192	0.586097084013041	0.802538383557388
"ANXA5"	0.982079092995467	0.239722458548993	0.584332401244082	0.403071825760162
"AP1G1"	0.553767504057149	0.00515786186775785	0.485464140078857	0.00358255492937339
"AP1G2"	NA	0.103265264678902	0.267855057595332	0.0747777518071723
"AP1S2"	0.0155868158840369	0.183115384782366	0.474873410523341	0.404609858017568
"AP2M1"	0.572145381397442	0.132616040619549	0.775746876750773	0.469211446320508
"APBA3"	NA	0.417676897920041	0.914354713627152	0.460731846911819
"APC"	0.389762212734366	0.319855963778846	7.7603883341196e-27	0.460723031892437
"APH1A"	0.021083501938639	0.285969431397172	0.803322961545103	0.330037001164236
"APH1B"	0.773267800535047	0.480066715527381	0.751605118138637	0.980946762102227
